country,country_iso3,exposure_index,basis,metric,method,source,source_url,source_table,observations,evidence_status,temporal_status,captured_at,note
Burkina Faso,BFA,0.198,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
"Congo, Democratic Republic of the",COD,0.197,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Zimbabwe,ZWE,0.192,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Zambia,ZMB,0.187,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Rwanda,RWA,0.186,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Guinea-Bissau,GNB,0.179,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Ethiopia,ETH,0.177,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Lesotho,LSO,0.175,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
"Tanzania, United Republic of",TZA,0.173,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Madagascar,MDG,0.166,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Mozambique,MOZ,0.162,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Burundi,BDI,0.144,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
