country,country_iso3,share_exposed_pct,share_high_exposure_pct,task_universe,metric,method,source,source_url,source_file,evidence_status,temporal_status,captured_at,note
Rwanda,RWA,30.1,1.1,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Cote d'Ivoire,CIV,29.5,1.9,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Angola,AGO,29.2,1.9,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Ghana,GHA,28.7,1.8,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Zambia,ZMB,26.8,1.5,18796,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Benin,BEN,24.6,0.7,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Cameroon,CMR,24.5,1.2,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Tanzania,TZA,23.8,1.1,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Ethiopia,ETH,22.1,0.9,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Togo,TGO,21.7,0.8,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Uganda,UGA,21.4,1.0,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Mozambique,MOZ,20.1,0.9,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
"Congo, Rep.",COG,19.7,0.7,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Sudan,SDN,17.8,1.0,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Madagascar,MDG,17.5,0.9,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Malawi,MWI,16.7,0.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Burkina Faso,BFA,14.3,0.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Mali,MLI,14.0,0.5,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
"Somalia, Fed. Rep.",SOM,13.7,0.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Guinea,GIN,13.6,0.3,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Sierra Leone,SLE,11.9,0.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
"Congo, Dem. Rep.",COD,10.8,0.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Niger,NER,9.9,0.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Chad,TCD,9.9,0.3,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Burundi,BDI,9.4,0.2,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
South Sudan,SSD,3.3,0.1,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
